suburb,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,Ypred2,Threshold
SWANSEA,0.119761194,0.101617089,0.107303877,0.098428453,0.083895228,0.079032676,0.079390797,0.079390797,0.037732227,0.038815688,0.032337079,0.042201095,0.103075123,0.094999154,0.093183601,0.088883117,0.100404189,0.093851537,0.090897969,0.093196721,0.002008056,0.001779449,0.001266316,0.001879508,0.1036466,0.094678661,0.092270505,0.092412773,0.02874225,1,0,0.99999774,1
SYLVANIA,0.143880597,0.12657217,0.123334335,0.113132984,0.105290456,0.105290456,0.105638367,0.103694102,0.056484304,0.073394864,0.095537985,0.095923137,0.126452346,0.121469245,0.117914207,0.105714286,0.124288076,0.11772057,0.116711524,0.102459016,0.004048168,0.005884059,0.009736771,0.009412743,0.126770048,0.12231468,0.12023154,0.112995918,0.004256751,0,0,1,1
TAHMOOR,0.177313433,0.147534438,0.144374311,0.132432681,0.121498963,0.121498963,0.101749838,0.100129618,0.049751151,0.063111892,0.029655455,0.033199803,0.157512043,0.137184981,0.125655423,0.117012987,0.152076061,0.132091977,0.125886959,0.125409836,0.003236019,0.004415441,0.00108234,0.001180506,0.158714752,0.138707403,0.125524781,0.121649294,0.00220471,0,0,0.9244164,1
TANILBA BAY,0.048597015,0.049211419,0.045686805,0.049995405,0.037733402,0.037733402,0.035320804,0.035320804,0.024175268,0.022727467,0.022200786,0.00988437,0.045759217,0.045441732,0.042112217,0.042155844,0.04482822,0.044738815,0.042818693,0.044672131,0.000964105,0.000678937,0.000645933,0.000121568,0.045791817,0.045453268,0.040446722,0.042764853,0.013772561,1,1,0.6000335,1
TAREE,0.047641791,0.04641645,0.042881475,0.03933462,0.026646784,0.026646784,0.027025275,0.02624757,0.003244472,0.002411381,0.003714465,0.004710837,0.040187483,0.036463325,0.034288427,0.032,0.04069447,0.035449471,0.033724819,0.033606557,6.26E-05,2.34E-05,3.99E-05,3.36E-05,0.040450529,0.036759952,0.034031223,0.033490547,0.02491122,0,0,2.98E-08,0
TATTON,0.095283582,0.091635057,0.088267709,0.080966823,0.074170124,0.074170124,0.074530136,0.074530136,0.04419771,0.045987196,0.059371236,0.071228022,0.088579305,0.085217342,0.082717477,0.075974026,0.087268051,0.081604599,0.08102928,0.074180328,0.002633301,0.002435603,0.003918706,0.005234767,0.088749456,0.085589582,0.083678643,0.081354947,0.00817826,1,0,0.000548422,0
TEA GARDENS,0.154746269,0.139049711,0.13585813,0.124620899,0.116960581,0.110477178,0.110823072,0.095464679,0.058658131,0.054534217,0.065891176,0.039254385,0.14122821,0.128708181,0.124437884,0.111844675,0.138985853,0.124844622,0.121238888,0.121967213,0.004329424,0.003350973,0.004775621,0.001632881,0.141967587,0.12884273,0.12428021,0.112190559,0.003245157,0,1,0,0
TELARAH,0.095152239,0.088640447,0.085261998,0.078209723,0.058285788,0.058285788,0.058327933,0.058327933,0.015939423,0.012793771,0.014527758,0.020506906,0.081408221,0.075604668,0.071590768,0.067272727,0.082491273,0.074023161,0.070467335,0.069672131,0.000506499,0.000256028,0.000312,0.000469519,0.081734255,0.076029408,0.071279283,0.070323544,0.005984092,1,0,0.49059993,1
TEMORA,0.131940299,0.109602715,0.106301974,0.09750942,0.083895228,0.082922718,0.074530136,0.074530136,0.029090397,0.037119148,0.021461225,0.028819029,0.113085619,0.098776569,0.090561909,0.086233766,0.111886827,0.096059319,0.089185221,0.091803279,0.001300802,0.00163916,0.000608656,0.000898794,0.113901338,0.099389602,0.0886084,0.086441283,1,0,1,5.60E-05,0
TENAMBIT,0.020358209,0.020762627,0.023644925,0.021689183,0.017764523,0.017764523,0.018146468,0.018146468,0.015943715,0.018238092,0.014065659,0.020228695,0.021877589,0.02028246,0.020209735,0.018883117,0.023562374,0.019245189,0.019329582,0.018196721,0.000506703,0.000463547,0.000295622,0.000457535,0.02193061,0.020315509,0.019823528,0.019552667,0.035127785,0,1,0,0
TENTERFIELD,0.958208955,0.861349571,1,1,1,1,1,1,0.757687708,1,1,1,0.946589389,0.939406326,1,1,0.89201727,0.867116554,0.939646032,1,0.577045405,1,1,1,0.944272012,0.916333022,0.964423968,1,0,1,1,0,0
TERRANORA,0.385074627,0.321221801,0.318705541,0.292344454,0.286825726,0.249221992,0.244977317,0.237200259,0.167313872,0.12512548,0.139784374,0.128348544,0.34694321,0.299486948,0.284298749,0.259220779,0.336027926,0.300174956,0.278199168,0.258196721,0.030236095,0.016456788,0.020387495,0.016746187,0.349475205,0.301240473,0.28697999,0.271266828,0.000347153,0,0,1,1
TERRIGAL,0.223641791,0.186264723,0.183248172,0.168091168,0.160140041,0.145487552,0.130265716,0.130265716,0.081791897,0.07276509,0.043109302,0.050328492,0.203599122,0.172506625,0.158251104,0.147480519,0.202461878,0.168374573,0.156512519,0.151639344,0.007898578,0.005788079,0.002149264,0.00264952,0.205408572,0.174242961,0.158261091,0.15366018,0.001458439,1,0,0,0
THE PONDS,0.318208955,0.26532242,0.262598938,0.240878596,0.280342324,0.257002075,0.238496436,0.209332469,0.155241659,0.197989417,0.18649396,0.148506375,0.325114122,0.287083498,0.261591181,0.233246753,0.320273746,0.286428393,0.260256097,0.257377049,0.026210518,0.040360827,0.035849704,0.022362531,0.327482476,0.290514369,0.264171347,0.239295576,0.001100794,0,0,1,1
THIRROUL,0.213731343,0.177979637,0.174932372,0.160463193,0.155990664,0.155990664,0.150874919,0.125081011,0.075536423,0.115478979,0.11218803,0.04871548,0.195544165,0.176720979,0.161430164,0.142337662,0.198006614,0.173123386,0.153209363,0.148770492,0.00682958,0.014082235,0.013288428,0.002486216,0.196838372,0.179255222,0.163658834,0.146684634,0.00220471,0,1,0.12683326,0
THORNLEIGH,0.077432836,0.079157516,0.075743913,0.069478908,0.055692427,0.055692427,0.053953338,0.053953338,0.026229988,0.023560049,0.021095514,0.028285838,0.071064818,0.068155551,0.064293382,0.060194805,0.070549329,0.06502541,0.062678411,0.060655738,0.001099075,0.000723281,0.000590624,0.00086712,0.071245108,0.06870665,0.064243589,0.063486716,0.014092671,1,0,0.000680387,0
THORNTON,0.112537313,0.098023558,0.094679892,0.086848635,0.066390041,0.066390041,0.062605314,0.062605314,0.014172511,0.016779663,0.009045233,0.014456367,0.093501132,0.083395585,0.077835349,0.073636364,0.093652398,0.081042239,0.076278444,0.076639344,0.000425715,0.000402186,0.000145016,0.000243733,0.09407411,0.083892125,0.077172273,0.076427146,0.002862341,1,0,0.039358854,0
