suburb_postcode,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,is_up2
LISMORE HEIGHTS,327500,352000,352000,352000,437000,437000,437000,437000,35315.5419043797,29849.1578142872,32912.7634816647,35462.0297720753,371750,397333.333333333,406500,399666.666666667,364750,395250,418500,410000,1247187500,890972222.222222,1083250000,1257555555.55556,69840.1298701299,175220.588235294,337090.909090909,614000,603.774598163236,0,1,0
LISMORE,270000,325000,327500,327500,359000,357000,357000,357000,24981.7554955389,10968.3889225153,10682.9303096108,12112.8948737378,325020.833333333,339666.666666667,342000,343166.666666667,326250,341750,341750,345000,624088107.638889,120305555.555556,114125000,146722222.222222,61071.6883116883,149414.705882353,278159.090909091,507375,603.774598163236,0,1,1
LITHGOW,261000,307500,307500,307500,368000,368000,368000,368000,31232.578477182,21814.4399805878,24704.187398091,26926.8556566777,313875,335125,334875,330166.666666667,311250,335125,332000,315000,975473958.333333,475869791.666667,610296875,725055555.555556,58949.7402597403,148260.294117647,277681.818181818,508500,103.331816153592,1,0,1
LIVERPOOL,615000,615000,615000,615000,800000,723500,723500,707500,52911.2694097917,39481.447823278,46147.1830126174,39738.7300585545,706791.666666667,676416.666666667,670250,652500,708750,688750,671250,635000,2799602430.55556,1558784722.22222,2129562500,1579166666.66667,133525.584415584,299988.235294118,556522.727272727,996875,31.8610397043596,0,0,1
LLANARTH,467500,492000,541000,541000,602500,602500,565000,553750,36675.9635467609,32825.8504586451,9211.70281489801,5324.2109483211,533062.5,549875,551187.5,546583.333333333,541750,549375,549375,545000,1345126302.08333,1077536458.33333,84855468.75,28347222.2222222,100268.376623377,242261.764705882,451647.727272727,816687.5,164.659735910035,0,1,1
LOFTUS,895000,895000,895000,895000,1184500,1130000,1045000,1045000,81895.6292925466,72049.6067534954,58576.8725692999,62849.0254498827,1023708.33333333,1011250,992500,980000,1028750,1015000,1015000,1000000,6706894097.22222,5191145833.33333,3431250000,3950000000,193124.935064935,449264.705882353,822272.727272727,1507500,28.6028000150626,1,0,0
LONG BEACH,430000,450000,553750,553750,735000,735000,735000,735000,93114.5944037358,87814.9589414519,69346.1370138957,79976.1249095976,547270.833333333,575708.333333333,620937.5,622916.666666667,537125,566875,597500,580000,8670327690.97222,7711467013.88889,4808886718.75,6396180555.55556,102669.415584416,250364.705882353,506306.818181818,927812.5,226.343266871495,0,1,0
LONG JETTY,610000,654250,654250,654250,770000,770000,719000,719000,43731.0028199547,37617.5241742462,23681.7275288354,27175.6120241824,694979.166666667,711625,689562.5,691083.333333333,700000,709500,692500,700000,1912400607.63889,1415078125,560824218.75,738513888.888889,130873.181818182,315752.941176471,566715.909090909,1052812.5,65.2263968031001,1,0,0
LUGARNO,1085000,1200000,1200000,1200000,1410000,1400000,1350000,1275000,89319.0748687909,69246.9413684741,57282.196186948,31180.4782231162,1259062.5,1285833.33333333,1262500,1233333.33333333,1247500,1270000,1250000,1225000,7977897135.41667,4795138888.88889,3281250000,972222222.222222,237115.584415584,569264.705882353,1038636.36363636,1837500,21.770867936293,0,0,1
LURNEA,651500,662500,662500,662500,730000,710500,687500,680000,25776.7104589265,16836.0146379388,9519.71638232989,7168.60438920219,688937.5,685416.666666667,675000,670833.333333333,690125,683750,675000,670000,664438802.083333,283451388.888889,90625000,51388888.8888889,129915.714285714,303350,554204.545454545,1010625,31.8610397043596,0,0,0
MACKSVILLE,315000,344000,344000,344000,415000,415000,415000,415000,33219.4931060397,22354.0016303321,27371.0042745969,30947.0874594399,364416.666666667,390083.333333333,390375,387166.666666667,364000,395000,401250,402500,1103534722.22222,499701388.888889,749171875,957722222.222222,68463.1168831169,172258.823529412,320840.909090909,583875,371.115679988761,1,0,1
MACLEAN,290000,340000,350000,390000,420000,420000,420000,420000,39141.4812641979,29214.2469049302,26809.513236909,12472.1912892465,365333.333333333,380833.333333333,392500,406666.666666667,367500,382500,400000,410000,1532055555.55556,853472222.222222,718750000,155555555.555556,68597.9220779221,166470.588235294,316363.636363636,605000,529.336586118623,1,1,0
MACQUARIE FIELDS,570000,588500,588500,588500,688000,661550,630000,627500,34862.8291685986,23445.5115936695,16617.0093578839,15949.5733136937,628795.833333333,627091.666666667,614000,608666.666666667,628750,628750,618750,610000,1215416857.63889,549692013.888889,276125000,254388888.888889,118557.792207792,278048.529411765,505590.909090909,922750,36.7517229055364,0,0,0
MACQUARIE HILLS,475000,538375,550000,550000,585000,585000,585000,585000,31143.7830289476,17857.7155166114,16222.5730080034,15456.0308258262,544656.25,564645.833333333,568625,563333.333333333,546250,565000,569750,555000,969935221.354167,318898003.472222,263171875,238888888.888889,102444.935064935,249083.088235294,468045.454545455,852500,109.351570729066,1,0,1
MALUA BAY,409944,500000,500000,500000,612000,612000,612000,612000,58146.4565233534,35822.0912597551,41417.0858463026,45729.2758161188,505578.666666667,553833.333333333,549500,556500,493500,551250,543000,557500,3381010406.22222,1283222222.22222,1715375000,2091166666.66667,94883.8451948052,244820.588235294,450159.090909091,848375,226.343266871495,1,0,1
MANILLA,178500,178500,178500,178500,317500,317500,286000,242500,36237.1325342604,45759.429052625,38313.0097845366,29879.6195870474,237020.833333333,246041.666666667,237062.5,220750,224000,241875,241875,241250,1313129774.30556,2093925347.22222,1467886718.75,892791666.666667,44663.5714285714,110064.705882353,198352.272727273,330812.5,362.41025116768,0,0,1
MANLY,2375000,2375000,2375000,2375000,3640000,3640000,3410000,3410000,349356.426712656,444728.849974903,424438.507766437,449454.916785012,3058375.04166667,3048000,2881875,2784166.66666667,3102750,3147750,2871250,2567500,122049912885.436,197783750000,180148046875,202009722222.222,577385.072987013,1367497.05882353,2431590.90909091,4435000,6.0652599530261,1,0,0
MANNERING PARK,410000,455000,455000,455000,517000,517000,517000,517000,34586.9021125491,21786.8959883127,22840.479417035,25381.533094402,457135.416666667,486354.166666667,483750,487333.333333333,450000,481562.5,481500,490000,1196253797.74306,474668836.805556,521687500,644222222.222222,85905.0649350649,214722.794117647,396409.090909091,739750,73.2620374121912,1,1,0
MARAYONG,605000,605000,605000,605000,746000,695000,695000,670000,39507.2953881797,31150.1738892953,32926.7653285287,27344.5099100756,678583.333333333,666500,655375,642166.666666667,681500,679250,660750,651500,1560826388.88889,970333333.333333,1084171875,747722222.222222,128040.12987013,295570.588235294,541931.818181818,974875,33.9695915110733,0,1,0
MAROUBRA,1700000,1700000,1700000,1700000,2210000,2065000,1984000,1910000,151030.779780058,118547.341691926,107873.768822638,85764.5355351241,1927020.83333333,1894833.33333333,1848500,1803333.33333333,1910000,1910000,1855000,1800000,22810296440.9722,14053472222.2222,11636750000,7355555555.55555,363656.233766234,842511.764705882,1534272.72727273,2757500,9.63224576349044,0,0,0
MARRICKVILLE,1195000,1195000,1195000,1195000,1515000,1500000,1322500,1322500,92714.4192758962,91040.4748205739,49729.7383363315,57385.1510022894,1355625,1322083.33333333,1276875,1275833.33333333,1323750,1316250,1295000,1310000,8595963541.66667,8288368055.55556,2473046875,3293055555.55556,255990.909090909,587691.176470588,1050227.27272727,1942500,10.9988793631339,1,1,0
MARSDEN PARK,503700,707500,707500,707500,800945,800945,782500,775000,81227.5731986562,29093.6181074705,29288.43628465,28939.5922569756,696762.083333333,763907.5,756250,747500,688750,767500,767500,760000,6597918647.74306,846438614.583333,857812500,837500000,130861.974025974,338303.970588235,623522.727272727,1134375,42.6889861690186,0,1,0
MARSFIELD,1300000,1300000,1300000,1300000,1896500,1780000,1750000,1750000,162460.037821271,185542.840964919,191175.434810543,201384.09955991,1643666.66666667,1575250,1511875,1466666.66666667,1658000,1635750,1498750,1350000,26393263888.8889,34426145833.3333,36548046875,40555555555.5556,310862.337662338,704138.235294118,1269772.72727273,2312500,17.0087313539812,1,0,0
MARYLAND,420000,495000,495000,510000,540000,540000,540000,540000,31376.1343309777,13913.17321422,16210.8904366787,12923.3853493924,492916.666666667,514166.666666667,515312.5,522083.333333333,500000,513125,513125,516250,984461805.555556,193576388.888889,262792968.75,167013888.888889,92664.2857142857,226338.235294118,418693.181818182,777187.5,113.842127332287,1,0,1
MASCOT,1200000,1200000,1200000,1200000,1454000,1440000,1440000,1440000,84955.2476143894,80919.1983812659,90967.0269933013,104986.771653491,1343458.33333333,1287500,1295000,1293333.33333333,1352500,1270000,1270000,1240000,7217394097.22222,6547916666.66667,8275000000,11022222222.2222,253832.207792208,569029.411764706,1069090.90909091,1990000,11.2333369830072,1,0,1
MATRAVILLE,1512500,1512500,1512500,1512500,1880000,1880000,1767500,1695000,100877.013610634,126893.984622335,103123.106043214,77969.0109381071,1719375,1695000,1632500,1587500,1737500,1727500,1625000,1555000,10176171875,16102083333.3333,10634375000,6079166666.66667,324666.883116883,755220.588235294,1356250,2426875,12.3177005511356,0,0,0
MAYFIELD EAST,460000,470000,470000,470000,670000,666250,666250,666250,77882.7326952729,65233.6212947145,77522.0482749908,80184.2496310147,575312.5,601041.666666667,590312.5,570416.666666667,595000,622500,612500,575000,6065720052.08333,4255425347.22222,6009667968.75,6429513888.88889,108166.428571429,267735.294117647,497329.545454546,904687.5,117.766307971024,1,0,0
MAYFIELD WEST,435000,520000,520000,570000,630000,630000,630000,630000,58425.566963445,35154.9150981133,39051.2483795333,26246.6929133727,540125,581916.666666667,575000,593333.333333333,546250,578250,575000,580000,3413546875,1235868055.55556,1525000000,688888888.888889,101344.285714286,256102.941176471,462727.272727273,875000,117.766307971024,1,1,1
MAYFIELD,480000,567500,567500,567500,625000,625000,603000,600000,45198.382689462,19022.8754836556,15533.6077184278,14003.4717917459,557747.916666667,594125,586187.5,580583.333333333,570875,597500,587125,574250,2042893797.74306,361869791.666667,241292968.75,196097222.222222,104788.493506494,262975,482613.636363636,879000,117.766307971024,0,0,0
MCGRATHS HILL,640000,702500,702500,702500,840000,840000,840000,792900,64655.7610005138,48761.6225461513,49638.2098287197,38067.6590647057,757491.666666667,794650,775725,754300,766250,808950,780200,767500,4180367430.55556,2377695833.33333,2463951875,1449146666.66667,142441.298701299,352567.647058824,639372.727272727,1125100,55.5324717285657,0,0,1
MEDOWIE,447000,475000,484000,484000,588500,588500,588500,506000,39683.1799923539,42158.1842588127,41985.6746402865,9285.59218478941,494354.166666667,517250,517125,493333.333333333,480125,498000,498000,490000,1574754774.30556,1777312500,1762796875,86222222.2222222,93060,228702.941176471,428863.636363636,736000,15203.2192252038,0,0,1
MENAI,940000,940000,940000,940000,1189000,1189000,1050000,1050000,73267.9040500606,85277.3253697736,45190.5687063131,47842.3336480244,1044208.33333333,1045666.66666667,993750,983333.333333333,1037500,1037500,992500,960000,5368185763.88889,7272222222.22222,2042187500,2288888888.88889,196988.441558442,464594.117647059,811818.181818182,1452500,29.4253942530589,0,0,1
MEREWETHER,940000,1020000,1020000,1020000,1500000,1500000,1275000,1275000,167322.878781979,154612.53093531,100302.277516515,115271.418833985,1269641.66666667,1279583.33333333,1188125,1182500,1297000,1263750,1228750,1252500,27996945763.8889,23905034722.2222,10060546875,13287500000,239319.558441558,572764.705882353,984204.545454545,1831875,110.686447591044,1,1,0
MERIMBULA,475000,505000,505000,505000,640000,640000,640000,640000,58834.6907303279,52808.1564617521,51315.6591597536,58722.9843322773,549250,575916.666666667,582875,586833.333333333,520250,593000,593250,615500,3461520833.33333,2788701388.88889,2633296875,3448388888.88889,103218.311688312,253905.882352941,476931.818181818,886375,355.777542977149,1,0,1
MERRYLANDS WEST,740000,740000,740000,740000,870888,856000,830000,821500,37737.733936561,41623.9781322684,36204.928877157,33319.1636549699,819204,812833.333333333,792125,779500,825750,825750,799250,777000,1424136562.66667,1732555555.55556,1310796875,1110166666.66667,154524.952727273,360238.235294118,649522.727272727,1158125,26.0010484414367,0,0,1
MERRYLANDS,750000,750000,750000,750000,945000,920000,860000,860000,53179.9583372345,58209.6903921981,38951.0911272072,44969.1252107735,856362.5,840416.666666667,806250,806666.666666667,864625,835000,807500,810000,2828107968.75,3388368055.55556,1517187500,2022222222.22222,161633.896103896,372941.176470588,657272.727272727,1197500,26.0010484414367,1,0,1
METFORD,330000,397500,397500,397500,457000,457000,457000,457000,37997.3728989548,22801.9857809699,23405.3946772961,26648.9524497055,399708.333333333,424583.333333333,432750,435000,398875,421125,438250,450500,1443800347.22222,519930555.555556,547812500,710166666.666667,75069.2857142857,187019.117647059,355863.636363636,665750,126.837386784717,1,1,0
MIDDLETON GRANGE,670475,722000,722000,722000,919900,919900,827500,820000,63724.6306751754,60010.9827911155,41744.7601502272,40373.9464946834,799156.25,809483.333333333,788000,774833.333333333,797250,802500,801250,782500,4060828554.6875,3601318055.55556,1742625000,1630055555.55556,150675.058441558,359285.882352941,652772.727272727,1186750,28.6010548552843,0,0,0
MILPERRA,801000,801000,801000,801000,938500,938500,887000,887000,32776.9139701974,41312.2268439448,34775.1948907192,35337.2639323169,874914.583333333,872329.166666667,856368.75,846833.333333333,878500,877487.5,868737.5,852500,1074326089.40972,1706700086.80556,1209314179.6875,1248722222.22222,165062.220779221,387021.617647059,707175,1291750,26.9543748932428,1,0,0
MINCHINBURY,646000,646000,646000,646000,795000,773500,745000,695000,50769.1363756893,46692.8497976106,39117.6111233802,21296.8437932844,724375,707833.333333333,685250,665333.333333333,738750,713750,675000,655000,2577505208.33333,2180222222.22222,1530187500,453555555.555556,136747.922077922,314508.823529412,566500,1000250,42.8200812005096,0,1,0
MINTO,571375,571375,571375,571375,720000,660000,650000,603000,45091.2979621315,36859.5600914999,30094.9506510228,13098.5845291263,633239.583333333,621145.833333333,601718.75,585625,652500,626500,592750,582500,2033225151.90972,1358627170.13889,905706054.6875,171572916.666667,119510.38961039,276094.852941176,497636.363636364,883562.5,42.5135939336916,0,0,1
MIRANDA,1021750,1021750,1021750,1021750,1450000,1332000,1250000,1250000,110780.47572602,102360.109485526,93183.8530473494,94990.4234939268,1280937.5,1222291.66666667,1174187.5,1148916.66666667,1283750,1250000,1212500,1175000,12272313802.0833,10477592013.8889,8683230468.75,9023180555.55556,242265.909090909,544514.705882353,974556.818181818,1761687.5,24.3974963191523,0,1,0
MITTAGONG,617500,637500,637500,637500,787000,756000,756000,756000,58707.4720483309,46316.4874951554,49837.352645882,52051.7904484456,702854.166666667,713291.666666667,698062.5,710333.333333333,705000,736250,699375,737500,3446567274.30556,2145217013.88889,2483761718.75,2709388888.88889,132378.961038961,315272.058823529,566954.545454545,1060875,100.119116392064,1,0,1
MOAMA,370000,370000,405000,405000,455000,455000,455000,445000,27236.8724750516,27704.4170164655,19475.5455636036,16372.4022536571,412166.666666667,420416.666666667,431875,424166.666666667,415250,423750,433750,422500,741847222.222222,767534722.222222,379296875,268055555.555556,77583.6363636364,184970.588235294,354431.818181818,630625,644.217077846411,0,0,1
MOLLYMOOK BEACH,515000,630000,630000,630000,802250,802250,802250,785000,82060.2627265475,55955.7892199031,67986.0681959915,63341.6661184932,700187.5,737541.666666667,732687.5,709500,729000,747250,749250,713500,6733886718.75,3131050347.22222,4622105468.75,4012166666.66667,131563.636363636,326142.647058824,602545.454545455,1046375,15203.2192252038,0,0,1
MONA VALE,1500000,1550000,1550000,1550000,1937000,1937000,1710000,1645000,114667.968742607,124952.546548235,58882.8285665694,38801.4890894094,1675916.66666667,1679166.66666667,1626250,1598333.33333333,1668500,1639000,1622500,1600000,13148743055.5556,15613138888.8889,3467187500,1505555555.55556,316055.584415584,746982.352941177,1342500,2421250,20.5322318761229,0,0,0
MOOREBANK,843500,843500,843500,843500,940000,940000,895300,885000,30599.0815380498,34836.1338587137,22317.6656485395,18389.7096829238,887210.833333333,888813.333333333,868220,859193.333333333,887500,890150,867040,849080,936303790.972222,1213556222.22222,498078200,338181422.222222,167382.51948052,394048.235294118,714456.363636364,1297770,31.8610397043596,0,0,1
MOREE,120000,173000,173000,173000,300000,300000,300000,300000,49591.0183120111,44433.8615872575,50710.42175924,58505.4603339627,203708.333333333,224083.333333333,216125,217333.333333333,195750,216250,195750,179000,2459269097.22222,1974368055.55556,2571546875,3422888888.88889,38211.1688311688,99532.3529411765,176772.727272727,327500,516.293160960221,0,1,0
MORISSET,436000,516500,535000,535000,650000,650000,650000,650000,66191.4704768589,50806.0035822539,44030.3517474026,48705.4639873415,517791.666666667,569000,594375,601666.666666667,518250,553750,596250,620000,4381310763.88889,2581250000,1938671875,2372222222.22222,96974.4155844156,248294.117647059,479090.909090909,873750,87.615824387524,0,1,1
MORTDALE,1035000,1035000,1035000,1035000,1352500,1352500,1212500,1212500,102194.692662258,103511.271527952,68130.7337036671,74451.6994806402,1173625,1180000,1123125,1135833.33333333,1164000,1186250,1122500,1160000,10443755208.3333,10714583333.3333,4641796875,5543055555.55556,221296.883116883,525235.294117647,921136.363636364,1735000,21.6741741276163,1,1,0
MORUYA,292500,338500,367500,390000,455500,455500,455500,455500,53214.5323979581,46751.9496028419,39068.8494839559,30759.8222795039,370875,409625,417000,433500,351125,420625,422500,455000,2831786458.33333,2185744791.66667,1526375000,946166666.666667,69469.8701298701,179285.294117647,336704.545454545,650375,261.736860840927,1,0,1
MOSMAN,3295000,3622500,3695000,3695000,4400000,4400000,4400000,4100000,292508.606236162,262949.680969995,270901.273529675,168835.883495054,3877916.66666667,3940416.66666667,4005000,3873333.33333333,3860000,3912500,3962500,3825000,85561284722.2222,69142534722.2222,73387500000,28505555555.5556,730328.571428572,1742000,3331136.36363636,5911250,3.47825377314412,0,0,0
MOSS VALE,526000,620000,620000,620000,758750,758750,735000,735000,56947.7861485609,46241.3655603821,41306.7791046458,47667.8321535836,673291.666666667,691083.333333333,672500,671666.666666667,680000,686375,667500,660000,3243050347.22222,2138263888.88889,1706250000,2272222222.22222,126758.766233766,306851.470588235,553863.636363636,1026250,112.807209976953,1,0,1
MOUNT ANNAN,650100,707500,707500,707500,780000,780000,755000,742000,40394.2934208809,23387.5857383071,18508.0219094316,14261.4476435209,724654.166666667,740750,731125,723166.666666667,730000,741000,731000,720000,1631698940.97222,546979166.666667,342546875,203388888.888889,136445.090909091,327570.588235294,599795.454545455,1081625,50.9811364800172,0,1,0
MOUNT AUSTIN,223500,223500,223500,223500,266500,266500,249950,249950,12209.1410426778,15003.8999559744,10847.832444779,12363.9484883358,243225,243241.666666667,241987.5,240983.333333333,247250,247250,247250,249500,149063125,225117013.888889,117675468.75,152867222.222222,45845.3116883117,107161.470588235,197081.818181818,354975,380.479338103496,0,1,0
MOUNT COLAH,925000,929500,929500,929500,1228384,1180000,1155000,1025000,104000.575102443,98045.7393969207,86998.0917534977,40056.7306038157,1086927.83333333,1063708.33333333,1016812.5,970750,1123750,1080000,991375,957750,10816119621.6389,9612967013.88889,7568667968.75,1604541666.66667,205161.149090909,474913.235294118,848840.909090909,1480000,25.2820902294294,0,0,0
MOUNT DRUITT,590500,590500,590500,590500,770000,735000,735000,735000,55825.0460267512,51047.0915484473,53182.4689159877,60089.2854194674,677708.333333333,670666.666666667,661000,654666.666666667,665000,665000,659250,638500,3116435763.88889,2605805555.55556,2828375000,3610722222.22222,127782.077922078,297120.588235294,546931.818181818,1006125,42.8200812005096,1,0,1
MOUNT HUTTON,459250,501000,503035,503035,580000,580000,580000,580000,34505.8850254401,29790.2995607071,29930.9075987933,34316.4844579913,504546.666666667,529972.5,529708.75,531761.666666667,500500,517900,517900,512250,1190656101.38889,887461947.916667,895859229.6875,1177621105.55556,94886.0441558442,233478.352941176,429339.772727273,778401.25,106.023085133387,0,1,1
MOUNT PRITCHARD,596250,596250,596250,596250,740000,690000,690000,690000,35201.6697343085,29912.5171216926,35636.3468771702,41117.2105084963,674687.5,659458.333333333,654562.5,653750,672500,669250,666000,675000,1239157552.08333,894758680.555556,1269949218.75,1690625000,127358.636363636,291867.647058824,540034.090909091,1004062.5,31.8610397043596,1,0,0
MOUNT RIVERVIEW,635000,665000,665000,665000,740000,707500,690000,690000,29305.1696591233,15706.7306874756,9354.14346693485,10801.2344973464,690937.5,684583.333333333,675000,675000,691250,682500,672500,670000,858792968.75,246701388.888889,87500000,116666666.666667,130315.649350649,302794.117647059,553181.818181818,1017500,59.6980487719837,1,0,1
MUDGEE,368750,385000,393750,398000,428000,428000,428000,428000,14905.3838846908,13217.2682713016,13401.2592691881,13441.7467449568,391237.5,400958.333333333,405250,409083.333333333,391250,398875,399625,401250,222170468.75,174696180.555556,179593750,180680555.555556,73656.7792207792,176322.058823529,329159.090909091,606125,201.747878478081,1,1,1
MULLUMBIMBY,587000,710000,710000,710000,835000,835000,835000,795888,69405.2699720193,43608.8570004866,45433.1140469152,35973.6587086842,731365.666666667,761981.333333333,777722,758629.333333333,740000,755000,782944,770000,4817091499.88889,1901732408.88889,2064167852,1294104120.88889,137533.536623377,336292.094117647,645429.090909091,1159416,625.881778882141,0,0,0
MULWALA,251250,272500,272500,308250,392500,385000,381500,381500,48586.1562930567,40730.7597727647,40559.5145280365,29907.0318747206,335000,342875,326562.5,344583.333333333,355000,355000,326125,344000,2360614583.33333,1658994791.66667,1645074218.75,894430555.555556,63154.8701298701,151517.647058824,260647.727272727,507937.5,532.562440261063,1,1,0
MURWILLUMBAH,400000,469500,469500,469500,526500,526500,526500,526500,38174.863566663,20172.7263623162,20519.5486061463,23573.7613083322,464175,493766.666666667,496525,495333.333333333,469750,495050,495050,490000,1457320208.33333,406938888.888889,421051875,555722222.222222,87165.2727272727,217457.647058823,405640.909090909,737875,640.00293722986,0,1,0
MUSWELLBROOK,230000,285000,285000,300000,324000,324000,317500,317500,28749.2753531864,12711.5433104456,11507.4703997012,8249.57911384306,284750,305000,300625,305833.333333333,296750,301750,300000,300000,826520833.333333,161583333.333333,132421875,68055555.5555556,53460.9090909091,134520.588235294,243750,454375,186.48563847754,1,1,1
NAMBUCCA HEADS,317000,342500,342500,390000,405000,405000,405000,405000,29918.9878393861,23307.277118245,25186.8020995124,6561.67322834318,370250,383750,385000,399166.666666667,376250,395000,396250,402500,895145833.333333,543229166.666667,634375000,43055555.5555556,69602.8571428572,168691.176470588,311818.181818182,602500,395.697664133186,1,0,0
NARARA,544000,555000,555000,555000,647500,647500,647500,647500,36653.1281824015,31077.6804511248,33161.7531955112,38008.507819522,594116.666666667,610316.666666667,601975,604300,604000,610325,602700,610400,1343451805.55556,965822222.222222,1099701875,1444646666.66667,111846.792207792,270406.764705882,496095.454545455,929575,59.7695637228553,1,0,0
NARELLAN VALE,602500,602500,602500,602500,715000,715000,715000,715000,28558.0245095645,38358.4157070591,45368.4568285059,46862.090815024,671208.333333333,670916.666666667,663875,652166.666666667,675000,685000,669000,639000,815560763.888889,1471368055.55556,2058296875,2196055555.55556,126592.857142857,297117.647058824,548022.727272727,987375,50.9811364800172,0,1,0
NARELLAN,620000,655000,657500,657500,710000,667500,667500,661000,21746.517521331,4702.98368650749,3691.20576505835,1471.96014438797,662229.166666667,661416.666666667,661500,659500,660500,660500,660500,660000,472911024.305556,22118055.5555556,13625000,2166666.66666667,124822.467532468,291835.294117647,541818.181818182,989500,50.9811364800172,0,0,1
NAROOMA,325000,357000,357000,357000,472500,472500,450000,405000,39784.5543381962,39231.9491401247,34120.1919689793,19618.5852927495,394791.666666667,416250,398750,381666.666666667,391500,417500,394000,383000,1582810763.88889,1539145833.33333,1164187500,384888888.888889,74328.8311688312,185755.882352941,332090.909090909,579000,282.35532449314,0,1,0
NARRABRI,250000,250000,250000,250000,330000,310000,310000,310000,20599.721461844,19075.871903766,23343.5617462289,26692.6956300783,298270.833333333,289166.666666667,289375,287500,292500,292500,298750,302500,424348524.305556,363888888.888889,544921875,712500000,56390.7142857143,127941.176470588,239659.090909091,444375,408.073733369345,1,1,0
NARRANDERA,151250,151250,159750,182000,205000,205000,205000,205000,17167.5262729764,19401.2814582497,16924.8107448798,9416.29792788369,174125,176166.666666667,185437.5,194000,171000,173000,188500,195000,294723958.333333,376409722.222222,286449218.75,88666666.6666667,32739.7402597403,76785.2941176471,149840.909090909,293500,469.018534410495,1,0,1
NARRAWEENA,1175000,1175000,1175000,1175000,1630000,1630000,1485000,1485000,127448.757404256,141303.455961511,126737.918556366,126644.734943419,1452291.66666667,1415000,1370000,1333333.33333333,1480000,1430000,1410000,1340000,16243185763.8889,19966666666.6667,16062500000,16038888888.8889,274253.246753247,630441.176470588,1138409.09090909,2041250,12.5340485638344,0,1,0
NARROMINE,190000,195000,211250,211250,295000,295000,295000,295000,26365.2947487317,31786.2090662846,31378.8201608585,35065.9445426281,224061.25,230414.166666667,243058.75,247620,223125,222312.5,232992.5,236610,695128767.1875,1010363086.80556,984630354.6875,1229620466.66667,42104.2623376623,100166.676470588,193815.454545455,350492.5,343.213444150926,0,1,1
NARWEE,920000,920000,920000,920000,1116502.5,1116502.5,1100000,1100000,65605.2749125192,78697.4388139033,71635.797615438,82170.5543366966,1030604.83333333,1013917.08333333,979250,984000,1040375,1007500,948500,932000,4304052096.34722,6193286875.86806,5131687500,6752000000,194627.85987013,450459.029411765,808090.909090909,1521000,19.4530588568054,1,0,0
NELSON BAY,497000,615500,615500,615500,680000,680000,680000,680000,60106.8890198028,23198.3072299108,26912.1110050847,28432.1805159029,599020.833333333,643875,646437.5,640166.666666667,620250,638750,645125,625000,3612838107.63889,538161458.333333,724261718.75,808388888.888889,112445.584415584,284492.647058824,533113.636363636,974000,151.392242690569,1,0,1
NEUTRAL BAY,1495500,1690000,1873000,1873000,2885000,2885000,2885000,2885000,374278.797229493,422052.68891718,366656.088862574,417066.208439646,2165916.66666667,2257166.66666667,2455750,2419333.33333333,2150000,2265000,2532500,2500000,140084618055.556,178128472222.222,134436687500,173944222222.222,406552.337662338,980388.235294118,1990681.81818182,3472250,4.40940472235196,0,1,0
NEW LAMBTON HEIGHTS,585000,737000,737500,737500,945500,860000,860000,860000,98961.9999320727,52870.7149563915,50756.0033395065,57166.909620475,750291.666666667,788250,785625,779166.666666667,738750,772500,772500,740000,9793477430.55556,2795312500,2576171875,3268055555.55556,141059.74025974,349223.529411765,650113.636363636,1199375,111.499272142222,1,0,0
NEW LAMBTON,620000,702500,712500,759250,775000,775000,775000,775000,50894.3281603057,29674.9754282403,24113.3391507688,6462.49865678043,699666.666666667,737500,753125,766666.666666667,706250,735875,762500,765750,2590232638.88889,880604166.666667,581453125,41763888.8888889,131459.025974026,323901.470588235,613215.909090909,1153937.5,111.499272142222,1,0,0
NEWPORT,1612500,1730000,1730000,1730000,2237500,2000000,2000000,2000000,165491.565746818,97467.9434480897,111018.016555873,122836.838484589,1876500,1830000,1845000,1826666.66666667,1872500,1800000,1825000,1750000,27387458333.3333,9500000000,12325000000,15088888888.8889,353885.844155844,808235.294117647,1526818.18181818,2807500,22.7936226133364,1,0,0
NEWTOWN,1150000,1150000,1150000,1150000,1705500,1485000,1350000,1350000,129623.1918871,111658.115344216,80007.3238835046,85667.3151726426,1383375,1349583.33333333,1285625,1268333.33333333,1358750,1343750,1321250,1305000,16802171875,12467534722.2222,6401171875,7338888888.88889,261250.25974026,601397.058823529,1063636.36363636,1941250,8.76344237314697,0,1,0
NIAGARA PARK,505000,547500,547500,547500,665000,645800,645800,575000,45396.6414185382,30934.0752874381,36438.9214988589,12847.3948937345,589212.5,591591.666666667,585700,565666.666666667,595375,587875,574750,574500,2060855052.08333,956917013.888889,1327795000,165055555.555556,111005.363636364,262293.529411765,485900,855250,59.7695637228553,0,1,0
NORAVILLE,500000,500000,500000,500000,587750,587750,587750,577500,30574.1925486185,28309.4568514167,33931.1688385472,32726.9851278048,548500,557291.666666667,555437.5,544666.666666667,554250,563250,567000,556500,934781250,801425347.222222,1151324218.75,1071055555.55556,103329.675324675,246777.941176471,460909.090909091,836375,69.6863876126759,0,0,0
