suburb_postcode,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,is_up2
BONNELLS BAY,450000,510000,515750,515750,662500,662500,662500,662500,57614.8422898417,60486.2960834013,64596.6753691705,68198.9532340653,545812.5,573291.666666667,581187.5,566083.333333333,520000,562500,573250,520000,3319470052.08333,3658592013.88889,4172730468.75,4651097222.22222,102586.298701299,252314.705882353,472965.909090909,812437.5,87.615824387524,0,1,1
BONNY HILLS,485500,617500,617500,617500,720000,720000,720000,720000,64768.0021092377,32683.7752817306,37291.0847254407,43027.7688114186,619458.333333333,656250,662500,661666.666666667,633250,652500,656250,647500,4194894097.22222,1068229166.66667,1390625000,1851388888.88889,116332.597402597,288602.941176471,538977.272727273,974375,292.417355771396,0,0,1
BONNYRIGG HEIGHTS,685500,685500,685500,685500,880000,797000,792500,763000,58593.1824046583,42325.2329848546,43428.2364222864,33151.7973368966,785395.833333333,751041.666666667,736062.5,717250,793750,764000,733125,703250,3433161024.30556,1791425347.22222,1886011718.75,1099041666.66667,148444.61038961,333320.588235294,610079.545454545,1090812.5,15203.2192252038,0,0,1
BONNYRIGG,640000,640000,640000,640000,785000,777500,710000,710000,48390.4834537628,45727.1497277298,26003.3050783934,28963.5786616379,717666.666666667,701666.666666667,674375,678333.333333333,716250,697500,673750,685000,2341638888.88889,2090972222.22222,676171875,838888888.888889,135449.61038961,311058.823529412,547500,1000000,15203.2192252038,0,1,1
BOOROOMA,419000,430000,430000,460000,492500,492500,492500,492500,21656.8487371137,20904.0466576849,22263.6896088676,13966.2291100911,442958.333333333,455750,462375,473166.666666667,433500,455000,463500,467000,469019097.222222,436979166.666667,495671875,195055555.555556,83340.3896103896,200111.764705882,374204.545454545,703375,380.479338103496,1,0,1
BOSSLEY PARK,737000,745000,745000,745000,860000,860000,838750,838750,44670.3735635326,47548.3124189375,42297.4493173052,43064.0672590141,810479.166666667,812541.666666667,789437.5,777916.666666667,830500,831375,787000,750000,1995442274.30556,2260842013.88889,1789074218.75,1854513888.88889,152789.155844156,359982.352941176,645011.363636364,1144687.5,34.3165286001894,0,0,1
BOTANY,1355000,1355000,1355000,1355000,1565000,1565000,1565000,1472500,70367.3397251878,80307.5684824012,78707.8260085997,48146.1894188476,1448750,1483333.33333333,1449375,1410833.33333333,1432500,1508750,1438750,1405000,4951562500,6449305555.55555,6194921875,2318055555.55556,272986.363636364,658897.058823529,1201704.54545455,2145625,10.6899965530684,0,0,0
BOURKELANDS,405000,418000,418000,420500,481000,481000,481000,481000,21469.4146144903,21547.2671636619,25323.8400524091,24847.3115022308,425708.333333333,437083.333333333,441125,448833.333333333,419250,429000,432750,445000,460935763.888889,464284722.222222,641296875,617388888.888889,80136.4935064935,192082.352941176,357181.818181818,664250,380.479338103496,1,0,1
BOWRAL,825000,825000,825000,825000,1200000,1200000,1041500,1041500,96643.2712349908,122191.931221155,83638.6386486533,91881.2639587999,944625,973583.333333333,930375,915500,921250,947500,927500,880000,9339921875,14930868055.5556,6995421875,8442166666.66667,177949.87012987,433547.058823529,775113.636363636,1427375,101.375206720802,1,0,0
BRADBURY,520000,520000,520000,520000,623000,600000,600000,560000,32638.3550783771,30974.4518380337,31401.3833294013,17206.2650088727,573466.666666667,564000,552125,536166.666666667,573000,570000,544250,528500,1065262222.22222,959416666.666667,986046875,296055555.555556,108218.909090909,250455.882352941,457522.727272727,812125,58.3603587400797,0,0,1
BROKEN HILL,87500,91000,109500,109500,138000,138000,138000,135000,17469.1785874675,18365.8802009475,11283.2840963968,11477.0302004579,110468.75,117666.666666667,128750,125666.666666667,107250,121000,133750,132500,305172200.520833,337305555.555556,127312500,131722222.222222,20731.0714285714,51061.7647058823,105022.727272727,182125,946.52830953305,0,1,1
BRONTE,3010000,3050000,3050000,3050000,4412500,3912500,3270000,3270000,410804.385389878,278309.629729192,87041.2079132637,92022.038423171,3422083.33333333,3365000,3194375,3174166.66666667,3256250,3262500,3228750,3202500,168760243055.556,77456250000,7576171875,8468055555.55556,646050.649350649,1498926.47058824,2622159.09090909,4778125,4.9503179057835,1,0,1
BROULEE,452500,520000,538000,538000,650000,650000,650000,572500,48518.8986303848,40908.8587254915,42190.6017378278,14261.4476435209,535670.833333333,569083.333333333,580125,556833.333333333,533525,566250,566250,560000,2354083524.30556,1673534722.22222,1780046875,203388888.888889,100647.701298701,251064.705882353,479431.818181818,826625,261.736860840927,0,1,1
BUDGEWOI,435000,485000,485000,485000,565000,565000,565000,565000,34983.4038033275,26404.9658629248,28939.5922569756,33416.5627596057,487875,511666.666666667,520000,520000,490000,502500,515000,510000,1223838541.66667,697222222.222222,837500000,1116666666.66667,91741.2987012987,225617.647058824,429090.909090909,800000,76.6157628802206,1,0,0
BUFF POINT,442000,460000,460000,460000,554500,540000,516500,512000,35417.3529345276,27580.1861245835,22519.4360497771,21240.6842325445,501166.666666667,508500,494000,486500,501000,514250,499750,487500,1254388888.88889,760666666.666667,507125000,451166666.666667,94429.8701298701,225785.294117647,407340.909090909,735875,76.6157628802206,0,0,1
BULLI,675000,920000,920000,922500,1290000,1290000,1015500,1015500,161885.612050265,126682.016613777,39212.5617627821,37970.0174114027,982083.333333333,1030500,957000,969333.333333333,992750,992750,946250,970000,26206951388.8889,16048333333.3333,1537625000,1441722222.22222,184612.467532468,460594.117647059,783863.636363636,1477250,61.6913664078669,1,0,0
BUNDANOON,550000,711000,715000,715000,857500,857500,857500,857500,85258.1863127133,49450.1011121312,55884.227425992,63933.5592627221,713500,752250,763125,767500,722500,740000,740000,730000,7268958333.33333,2445312500,3123046875,4087500000,134151.818181818,331588.235294118,628977.272727273,1183125,129.944759482029,1,0,1
BUNGENDORE,560000,610000,610000,610000,733750,733750,733750,662500,49338.3786482581,42600.4735563142,49705.1855317934,23658.4492776306,634145.833333333,661041.666666667,655312.5,629166.666666667,625000,658750,638750,615000,2434275607.63889,1814800347.22222,2470605468.75,559722222.222222,119267.792207792,292551.470588235,540909.090909091,930625,241.4968247082,0,1,1
BURRADOO,1250000,1465000,1465000,1500000,1650000,1595000,1502500,1502500,101832.8133511,48584.1194904947,15549.8191307809,1178.51130197758,1500625,1525000,1491875,1500833.33333333,1500000,1501250,1500000,1500000,10369921875,2360416666.66667,241796875,1388888.88888889,282566.883116883,674794.117647059,1218181.81818182,2251250,101.375206720802,1,1,0
BURRANEER,1900000,2085000,2085000,2085000,3450000,3450000,2555000,2555000,427416.317345669,475690.871843843,192581.151725708,218110.573384745,2455000,2452833.33333333,2225000,2246666.66666667,2326000,2263500,2130000,2100000,182684708333.333,226281805555.556,37087500000,47572222222.2222,463391.428571429,1097958.82352941,1793863.63636364,3256250,28.2009202129332,0,0,1
BURRILL LAKE,425000,463750,463750,463750,647500,614500,614500,614500,64116.5490153587,47744.4913925505,58425.5335341493,67463.6733525697,514395.833333333,520625,519687.5,519583.333333333,509500,520000,500250,480500,4110931857.63889,2279536458.33333,3413542968.75,4551347222.22222,96818.051948052,230560.294117647,431318.181818182,812875,15203.2192252038,1,0,1
BURWOOD,1510000,1525000,1525000,1525000,2999887.5,2300000,2300000,2100000,394303.97396357,254193.987602644,308410.744786883,240658.817969894,2010990.625,1907500,1906250,1775000,1938000,1910000,1900000,1700000,155475623883.464,64614583333.3333,95117187500,57916666666.6667,379590.396103896,844264.705882353,1577272.72727273,2562500,14.4740300741288,0,0,1
BYRON BAY,1172000,1357500,1357500,1357500,2392500,2392500,1925000,1925000,354418.956709429,359467.198318103,228195.194679906,235640.38042935,1509125,1712500,1551875,1610833.33333333,1366250,1612500,1462500,1550000,125612796875,129216666666.667,52073046875,55526388888.8889,283305.064935065,769088.235294118,1270681.81818182,2510000,619.245220416574,1,0,1
CABRAMATTA WEST,765000,765000,765000,765000,920000,920000,910000,910000,48997.8165258979,60971.5894677367,54953.8158365732,63289.4584868251,834604.166666667,847916.666666667,819375,821666.666666667,818750,851250,801250,790000,2400786024.30556,3717534722.22222,3019921875,4005555555.55556,157323.116883117,376808.823529412,675227.272727273,1262500,30.4331092673252,1,0,1
CABRAMATTA,726500,750000,839500,839500,963000,963000,963000,963000,72444.6148600586,70372.2246344394,48611.9841191449,50422.1071444747,847833.333333333,848000,888500,900833.333333333,850750,845500,875750,900000,5248222222.22222,4952250000,2363125000,2542388888.88889,159595.714285714,371294.117647059,726454.545454545,1367000,30.4331092673252,1,0,1
CALALA,346000,365000,365000,365000,420000,420000,420000,420000,21196.0098446225,16522.7116418583,19878.9304289743,22808.3805260747,383750,386500,388375,389666.666666667,384250,384250,384250,384000,449270833.333333,273000000,395171875,520222222.222222,72340.2597402597,170464.705882353,318272.727272727,589250,281.137062402632,0,1,0
CALLALA BAY,486500,550000,550000,550000,710000,710000,710000,710000,68006.0761174242,55665.6686537283,65416.3349248489,69851.0319656529,586083.333333333,621500,626875,612500,582250,610750,623750,577500,4624826388.88889,3098666666.66667,4279296875,4879166666.66667,110117.272727273,274958.823529412,522840.909090909,951875,126.11448510659,1,0,1
CAMBRIDGE PARK,565000,565000,565000,565000,681000,681000,645000,645000,33960.8383534133,35296.85617099,34295.3622957974,37712.3616632825,624375,633083.333333333,624375,618333.333333333,637000,643750,643750,645000,1153338541.66667,1245868055.55556,1176171875,1422222222.22222,117650,280779.411764706,516136.363636364,947500,50.1896255716042,1,1,0
CAMDEN SOUTH,607500,615350,615350,615350,726500,726500,726500,670000,36059.2933775593,40603.3831376429,41475.1940170266,22346.376788096,667383.333333333,673766.666666667,662962.5,641783.333333333,671250,668500,655000,640000,1300272638.88889,1648634722.22222,1720191718.75,499360555.555556,125839.181818182,298416.764705882,546836.363636364,955175,70.4592681297323,0,0,1
CAMDEN,563000,637000,637000,670000,855000,855000,695000,695000,80685.1575946678,73071.5408815604,20645.326158419,11474.7609512743,706067.916666667,714729.166666667,668343.75,678791.666666667,683187.5,683187.5,670687.5,671375,6510094656.07639,5339450086.80556,426229492.1875,131670138.888889,132972.933766234,317955.882352941,544039.772727273,1018531.25,70.4592681297323,1,1,0
CAMERON PARK,550000,553500,553500,553500,654750,654750,654750,654750,31593.0339104472,31868.1365159621,36440.1800043578,41380.8530603225,582125,596375,598937.5,602750,568625,593750,593750,600000,998119791.666667,1015578125,1327886718.75,1712375000,109615.779220779,263276.470588235,493602.272727273,929437.5,109.351570729066,1,0,0
CAMMERAY,2000000,2000000,2087500,2185000,2866667,2587500,2587500,2587500,255543.385650762,233794.1877426,200320.056409736,167045.403009681,2393097.25,2314166.66666667,2327500,2407500,2375000,2317500,2317500,2450000,65302421949.8542,54659722222.2222,40128125000,27904166666.6667,452286.931948052,1018073.52941176,1876250,3576875,5.80420304505349,1,0,1
CAMPBELLTOWN,530000,530000,530000,530000,670000,670000,670000,612500,42845.8053239073,52475.1925516556,55968.0433372474,35881.7502360183,608568.75,603750,589375,562500,614987.5,608750,578750,545000,1835763033.85417,2753645833.33333,3132421875,1287500000,114842.454545455,268970.588235294,493295.454545455,864375,58.3603587400797,0,0,0
CANLEY HEIGHTS,730000,730000,730000,730000,880000,880000,880000,880000,43464.4800303139,54014.7388579163,62144.9917531574,70244.0191206499,799770.833333333,801041.666666667,788000,780666.666666667,795000,817125,771000,732000,1889161024.30556,2917592013.88889,3862000000,4934222222.22222,150864.61038961,355479.411764706,653545.454545455,1208500,30.4331092673252,1,0,0
CANLEY VALE,672500,672500,672500,672500,900500,900000,872500,825000,60162.8257949948,72944.0424800637,73919.2972098626,65965.0580905443,826845.833333333,817500,791250,764166.666666667,826750,832500,810000,795000,3619565607.63889,5320833333.33333,5464062500,4351388888.88889,156058.376623377,362573.529411765,649204.545454545,1115625,30.4331092673252,0,1,0
CANOWINDRA,155000,193750,207500,207500,297500,297500,297500,297500,37301.5582784419,34342.1560266031,34505.4343546057,39808.5697083206,213750,236458.333333333,242500,241666.666666667,210625,232500,232500,220000,1391406250,1179383680.55556,1190625000,1584722222.22222,40065.9090909091,103816.176470588,199204.545454545,365625,245.214802663169,0,1,0
CARDIFF SOUTH,410000,520000,520000,520000,580000,580000,580000,580000,47456.1967253897,19836.5193519428,22746.2462562507,24665.8671041583,510095.833333333,545400,547537.5,552050,525000,543000,545075,556150,2252090607.63889,393487500,517391718.75,608405000,95768.6753246753,240596.470588235,449481.818181818,843075,109.351570729066,1,0,0
CARDIFF,390250,445000,445000,445000,549775,549775,549775,549775,41269.4442808478,30866.1683275107,37229.5602478729,42774.2345213668,474562.5,495833.333333333,499562.5,497416.666666667,488375,493737.5,501737.5,497475,1703167031.25,952720347.222222,1386040156.25,1829635138.88889,89214.8636363636,218861.617647059,411703.409090909,759243.75,109.351570729066,0,1,0
CARINGBAH SOUTH,1301550,1301550,1301550,1301550,1835000,1800000,1800000,1517500,148206.09541699,175172.994850805,179308.516860605,92655.9076487961,1648212.5,1590175,1522262.5,1429683.33333333,1708500,1617250,1493750,1470000,21965046718.75,30685578125,32151544218.75,8585117222.22222,311611.233766234,710652.941176471,1278393.18181818,2186637.5,25.0743027314594,0,1,0
CARINGBAH,1085000,1085000,1085000,1085000,1525000,1425000,1322500,1268750,126389.325968414,117277.604248779,94696.7817232983,76505.7187404968,1345687.5,1265625,1205312.5,1166250,1351250,1295625,1206875,1145000,15974261718.75,13754036458.3333,8967480468.75,5853125000,254670.064935065,564955.882352941,1002443.18181818,1780312.5,25.0743027314594,0,0,1
CARLINGFORD,1200000,1292500,1292500,1292500,1500000,1415000,1410000,1355000,81524.9088554467,48982.706698952,45910.9191805174,26640.6122719096,1387708.33333333,1363333.33333333,1341250,1318333.33333333,1412500,1377500,1331250,1307500,6646310763.88889,2399305555.55556,2107812500,709722222.222222,261849.350649351,603970.588235294,1104318.18181818,1981250,21.8096561104322,0,1,0
CASINO,223250,265000,271500,271500,306500,306500,306500,302000,26963.7343250151,15434.4492037203,13483.7865601618,13044.7946195663,265562.5,286833.333333333,293750,289500,266750,288000,298500,295000,727042968.75,238222222.222222,181812500,170166666.666667,49842.3376623377,126338.235294118,242886.363636364,441875,566.4157945186,0,0,0
CASTLE HILL,1300000,1300000,1300000,1300000,1660000,1590159,1500000,1418500,124744.808472777,103075.373231464,84211.3227244413,55396.048796121,1477954.91666667,1423859.83333333,1380125,1340166.66666667,1466250,1425500,1360250,1302000,15561267240.9097,10624532566.8056,7091546875,3068722222.22222,279145.464935065,633831.676470588,1145477.27272727,2039875,27.5593235067462,0,0,0
CASTLECRAG,2210000,2400000,2408500,2408500,3700000,3485000,3485000,3485000,428355.64752188,395000.49226411,428310.397813315,454612.105719444,2820958.33333333,2749833.33333333,2767125,2864500,2730000,2587500,2587500,2700000,183488560763.889,156025388888.889,183449796875,206672166666.667,531704.545454545,1216691.17647059,2286386.36363636,4565875,8.24400277663105,1,0,0
CASUARINA,840000,1040000,1070000,1070000,1200000,1200000,1200000,1200000,118904.16892981,60277.1377334171,47087.0205045934,54365.0214343336,1015083.33333333,1111000,1143750,1143333.33333333,1045500,1107500,1152500,1160000,14138201388.8889,3633333333.33333,2217187500,2955555555.55556,190267.922077922,487052.941176471,930000,1682500,657.709134394657,0,1,1
CASULA,731000,731000,731000,731000,856000,856000,780000,763500,39653.9009132631,42475.0948269166,17980.4581421053,13331.2498372141,792895.833333333,783291.666666667,756125,748166.666666667,785000,771750,756750,750000,1572431857.63889,1804133680.55556,323296875,177722222.222222,149712.012987013,347955.882352941,621431.818181818,1125625,31.8610397043596,0,0,1
CATALINA,365000,396000,396000,396000,469500,469500,467500,463500,38215.1427501804,25307.4497705496,28431.9362689213,28479.0371247968,414562.5,447041.666666667,443000,434833.333333333,400500,454250,454250,445000,1460397135.41667,640467013.888889,808375000,811055555.555556,77908.961038961,198110.294117647,367750,669125,226.343266871495,0,0,0
